condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,3232,30.3878,30.4352,26.4391,599.887
no_noise,3242,30.4078,30.5002,26.6338,599.899
no_noise,3252,30.366,30.4963,26.5945,599.898
no_noise,3262,30.3688,30.4146,26.4369,599.892
no_noise,3272,30.4455,30.4342,26.8158,599.896
no_noise,3282,30.4416,30.3976,26.7279,599.902
no_noise,3292,30.4543,30.3842,26.7042,599.901
no_noise,3302,30.4527,30.4079,26.6715,599.902
no_noise,3312,30.4532,30.3612,26.4947,599.904
no_noise,3322,30.49,30.35,26.5184,599.901
no_noise,3332,30.5041,30.3879,26.5905,599.904
no_noise,3342,30.4575,30.3958,26.4863,599.903
no_noise,3352,30.4881,30.3592,26.411,599.906
no_noise,3362,30.4969,30.3373,26.3216,599.91
no_noise,3372,30.4808,30.4099,26.3956,599.914
no_noise,3382,30.397,30.4439,26.3581,599.921
no_noise,3392,30.3686,30.4702,26.2685,599.921
no_noise,3402,30.3851,30.5192,26.5378,599.924
no_noise,3412,30.4301,30.5293,26.6564,599.929
no_noise,3422,30.4239,30.516,26.5896,599.932
no_noise,3432,30.3958,30.5401,26.6082,599.944
no_noise,3442,30.3323,30.5481,26.4849,599.939
no_noise,3452,30.3342,30.5325,26.4169,599.944
no_noise,3462,30.3513,30.5389,26.5374,599.943
no_noise,3472,30.3315,30.5569,26.5707,599.95
no_noise,3482,30.3385,30.5337,26.5153,599.952
no_noise,3492,30.3246,30.5081,26.4563,599.953
no_noise,3502,30.2868,30.4653,26.2447,599.957
no_noise,3512,30.3341,30.4944,26.55,599.958
no_noise,3522,30.4059,30.522,26.8784,599.959
no_noise,3532,30.378,30.4889,26.7257,599.964
no_noise,3542,30.3683,30.4606,26.5902,599.965
no_noise,3552,30.4008,30.4987,26.7868,599.969
no_noise,3562,30.4133,30.4678,26.7182,599.969
no_noise,3572,30.3967,30.4829,26.7301,599.978
no_noise,3582,30.38,30.4809,26.6581,599.982
no_noise,3592,30.4375,30.4965,26.8506,599.978
no_noise,3602,30.4894,30.4584,26.8548,599.981
no_noise,3612,30.4872,30.4845,26.9301,599.977
no_noise,3622,30.455,30.4428,26.723,599.988
no_noise,3632,30.3601,30.4154,26.4462,599.987
no_noise,3642,30.3706,30.4711,26.5707,599.988
no_noise,3652,30.3761,30.3842,26.4327,599.992
