condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,3689,A,8,-0.100293,-0.0939674,-0.0971304,58
no_noise,3689,A,9,-0.0939674,-0.0876413,-0.0908044,90
no_noise,3689,A,10,-0.0876413,-0.0813152,-0.0844783,137
no_noise,3689,A,11,-0.0813152,-0.0749892,-0.0781522,188
no_noise,3689,A,12,-0.0749892,-0.0686631,-0.0718261,317
no_noise,3689,A,13,-0.0686631,-0.062337,-0.0655,367
no_noise,3689,A,14,-0.062337,-0.0560109,-0.059174,472
no_noise,3689,A,15,-0.0560109,-0.0496848,-0.0528479,611
no_noise,3689,A,16,-0.0496848,-0.0433588,-0.0465218,786
no_noise,3689,A,17,-0.0433588,-0.0370327,-0.0401957,917
no_noise,3689,A,18,-0.0370327,-0.0307066,-0.0338697,1088
no_noise,3689,A,19,-0.0307066,-0.0243805,-0.0275436,1209
no_noise,3689,A,20,-0.0243805,-0.0180545,-0.0212175,1434
no_noise,3689,A,21,-0.0180545,-0.0117284,-0.0148914,1493
no_noise,3689,A,22,-0.0117284,-0.0054023,-0.00856533,1575
no_noise,3689,A,23,-0.0054023,0.000923783,-0.00223926,1648
no_noise,3689,A,24,0.000923783,0.00724986,0.00408682,1591
no_noise,3689,A,25,0.00724986,0.0135759,0.0104129,1560
no_noise,3689,A,26,0.0135759,0.019902,0.016739,1434
no_noise,3689,A,27,0.019902,0.0262281,0.0230651,1372
no_noise,3689,A,28,0.0262281,0.0325542,0.0293911,1222
no_noise,3689,A,29,0.0325542,0.0388803,0.0357172,1067
no_noise,3689,A,30,0.0388803,0.0452063,0.0420433,885
no_noise,3689,A,31,0.0452063,0.0515324,0.0483694,706
no_noise,3689,A,32,0.0515324,0.0578585,0.0546955,576
no_noise,3689,A,33,0.0578585,0.0641846,0.0610215,459
no_noise,3689,A,34,0.0641846,0.0705106,0.0673476,340
no_noise,3689,A,35,0.0705106,0.0768367,0.0736737,261
no_noise,3689,A,36,0.0768367,0.0831628,0.0799998,177
no_noise,3689,A,37,0.0831628,0.0894889,0.0863258,151
no_noise,3689,A,38,0.0894889,0.095815,0.0926519,96
no_noise,3689,A,39,0.095815,0.102141,0.098978,60
no_noise,3689,A,40,0.102141,0.108467,0.105304,42
no_noise,3689,A,41,0.108467,0.114793,0.11163,25
no_noise,3689,A,42,0.114793,0.121119,0.117956,16
no_noise,3689,A,43,0.121119,0.127445,0.124282,9
no_noise,3689,A,44,0.127445,0.133771,0.130608,6
no_noise,3689,A,45,0.133771,0.140098,0.136934,3
no_noise,3689,A,46,0.140098,0.146424,0.143261,3
no_noise,3689,A,47,0.146424,0.15275,0.149587,1
no_noise,3689,A,48,0.15275,0.159076,0.155913,1
no_noise,3689,A,49,0.159076,0.165402,0.162239,1
no_noise,3689,B,0,-0.138798,-0.133182,-0.13599,5
no_noise,3689,B,1,-0.133182,-0.127565,-0.130374,4
no_noise,3689,B,2,-0.127565,-0.121949,-0.124757,8
no_noise,3689,B,3,-0.121949,-0.116332,-0.119141,6
no_noise,3689,B,4,-0.116332,-0.110716,-0.113524,14
no_noise,3689,B,5,-0.110716,-0.105099,-0.107907,25
no_noise,3689,B,6,-0.105099,-0.0994827,-0.102291,43
no_noise,3689,B,7,-0.0994827,-0.0938662,-0.0966745,65
no_noise,3689,B,8,-0.0938662,-0.0882497,-0.091058,75
no_noise,3689,B,9,-0.0882497,-0.0826332,-0.0854414,124
no_noise,3689,B,10,-0.0826332,-0.0770167,-0.0798249,168
no_noise,3689,B,11,-0.0770167,-0.0714002,-0.0742084,208
no_noise,3689,B,12,-0.0714002,-0.0657837,-0.0685919,264
no_noise,3689,B,13,-0.0657837,-0.0601671,-0.0629754,372
no_noise,3689,B,14,-0.0601671,-0.0545506,-0.0573589,504
no_noise,3689,B,15,-0.0545506,-0.0489341,-0.0517424,616
no_noise,3689,B,16,-0.0489341,-0.0433176,-0.0461259,698
no_noise,3689,B,17,-0.0433176,-0.0377011,-0.0405094,822
no_noise,3689,B,18,-0.0377011,-0.0320846,-0.0348928,969
no_noise,3689,B,19,-0.0320846,-0.0264681,-0.0292763,1039
no_noise,3689,B,20,-0.0264681,-0.0208516,-0.0236598,1158
no_noise,3689,B,21,-0.0208516,-0.0152351,-0.0180433,1336
no_noise,3689,B,22,-0.0152351,-0.00961854,-0.0124268,1301
no_noise,3689,B,23,-0.00961854,-0.00400203,-0.00681029,1480
no_noise,3689,B,24,-0.00400203,0.00161448,-0.00119377,1460
no_noise,3689,B,25,0.00161448,0.00723099,0.00442274,1435
