layer_name,layer_idx,sublayer,q,safety,theta,CCR,QZR_nonzero,cosine_sim
bert.encoder.layer.1.attention.self.query,1,Q,0.995,1.1,0.0005508491711225361,0.004159883582056644,0.12135839423447758,0.9992635453453034
bert.encoder.layer.1.attention.self.query,1,Q,0.995,1.2,0.0006009263684973121,0.0035498653182568177,0.12140427192603521,0.9992796226338825
bert.encoder.layer.1.attention.self.query,1,Q,0.999,1.0,0.0011506958398967981,0.0010032228073334484,0.12161233883672481,0.999347836272568
bert.encoder.layer.1.attention.self.query,1,Q,0.999,1.1,0.001265765423886478,0.0008231571752479577,0.12162999514480237,0.999353348485795
bert.encoder.layer.1.attention.self.query,1,Q,0.999,1.2,0.0013808350078761578,0.0007092381018877493,0.12164399578367363,0.9993570232946131
bert.encoder.layer.1.attention.self.value,1,V,0.9,1.0,0.00010054781887447461,0.10000257236617265,0.11648861699492957,0.9952704062133667
bert.encoder.layer.1.attention.self.value,1,V,0.9,1.1,0.00011060260076192208,0.08769196282563399,0.11784868862652359,0.9957888987700415
bert.encoder.layer.1.attention.self.value,1,V,0.9,1.2,0.00012065738264936953,0.0780308904429247,0.11898831000723703,0.9962104682441396
bert.encoder.layer.1.attention.self.value,1,V,0.95,1.0,0.00016784081526566297,0.05000312358749536,0.12253089749841839,0.9974466968980938
bert.encoder.layer.1.attention.self.value,1,V,0.95,1.1,0.00018462489679222928,0.04391764018476939,0.12333610649017988,0.9977177140484267
bert.encoder.layer.1.attention.self.value,1,V,0.95,1.2,0.00020140897831879556,0.039257982603455054,0.12399761035985647,0.9979382025775109
bert.encoder.layer.1.attention.self.value,1,V,0.99,1.0,0.0005928469472564757,0.010002829602789915,0.12794013954598493,0.9992605595631388
bert.encoder.layer.1.attention.self.value,1,V,0.99,1.1,0.0006521316419821233,0.008937135045549256,0.1280468669041611,0.9992976521646462
bert.encoder.layer.1.attention.self.value,1,V,0.99,1.2,0.0007114163367077708,0.008029457267485659,0.12813119611108761,0.9993249835552306
bert.encoder.layer.1.attention.self.value,1,V,0.995,1.0,0.0009542332263663411,0.005001414801394957,0.12832902810498104,0.9993844695229731
