layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,EZR_pad_mean,QZR_all_pad_mean,CCR
bert.encoder.layer.10.attention.output.dense,10,O,sto_round,7,0.10001026440411806,0.12054567601531745,0.022817381517961623,6.182588007450104,0.9998633381724358,0.16324271462857723,0.4540403388440609,0.7581003877520561,0.10001239646226168,0.1210453337803483,
bert.encoder.layer.10.attention.self.query,10,Q,sto_round,7,9.752258733897178e-09,0.13173635367304087,0.13173634503036738,23.181110639572143,0.9994810402393342,0.05010772654786706,0.23763382710516454,0.6071510449051857,4.238552548940788e-09,0.1320630321279168,
bert.encoder.layer.10.attention.self.value,10,V,sto_round,7,0.0,0.17200198993086815,0.17200198993086815,34.232581014633176,0.9995379629731178,0.04191996276378632,0.2539647263288498,0.6585812082886696,0.557091471850872,0.6333497966825962,
bert.encoder.layer.11.attention.self.key,11,K,sto_round,7,4.5591153252644286e-09,0.23019555427134036,0.2301955507695675,50.009953327178955,0.9994762778282166,0.03100495026446879,0.22325936019420622,0.6340874606370925,0.5570914739370346,0.6593512269854546,
bert.encoder.layer.11.attention.output.dense,11,O,sto_round,7,0.09999527990818023,0.12109215844422579,0.02344085179269314,6.34790670633316,0.9998584690690041,0.15843866527080536,0.43423330411314964,0.7320653009414673,0.1000072318315506,0.12155703090131283,
bert.encoder.layer.11.attention.self.query,11,Q,sto_round,7,0.0,0.14842122230678798,0.14842122230678798,25.841077899932863,0.9995221784710884,0.046174434050917625,0.24538246482610704,0.6311484277248383,2.119276274470394e-09,0.13758904978632927,
bert.encoder.layer.11.attention.self.value,11,V,sto_round,7,0.0,0.15222247809171677,0.15222247809171677,34.147646780014036,0.9995850133895874,0.04730978194624186,0.2748677211999893,0.680181872844696,0.557091471850872,0.6247552922368049,
bert.encoder.layer.0.attention.self.key,0,K,dac8bit,8,5.393882815951656e-09,0.058209855780005454,0.05820985067635775,23.524880933761597,0.9998722267150879,0.05339981023222208,0.24358097806572915,0.6224515444040298,0.5570914739370346,0.5829137971997261,
bert.encoder.layer.0.attention.output.dense,0,O,dac8bit,8,0.10001762874424458,0.11015073008835316,0.011259221332147717,6.116773972511291,0.9999666604399681,0.16525408633053304,0.4623660109937191,0.767695534825325,0.09999825838953257,0.11025890868157148,
bert.encoder.layer.0.attention.self.query,0,Q,dac8bit,8,0.0,0.03654500341042876,0.03654500341042876,15.770830278396607,0.9998666954040527,0.06722557663917542,0.23887971475720404,0.5778155243396759,4.238552548940788e-09,0.04537886975333095,
bert.encoder.layer.0.attention.self.value,0,V,dac8bit,8,4.623875611287076e-09,0.04750493016093969,0.04750492574647069,19.768324661254884,0.9998790407180786,0.06366881094872952,0.26135850049555304,0.6299407199025154,0.5570914739370346,0.5781863234937191,
bert.encoder.layer.1.attention.self.key,1,K,dac8bit,8,0.0,0.08068996578454972,0.08068996578454972,30.113871812820435,0.9998543328046798,0.04427942724898457,0.22740253701806068,0.6010393926501274,0.557091471850872,0.5928969889879226,
bert.encoder.layer.1.attention.output.dense,1,O,dac8bit,8,0.09995366934686899,0.11011571317911148,0.011290575470775365,6.12687662601471,0.9999668663740158,0.16485837705433368,0.4612772338092327,0.7674258434772492,0.09996887937188148,0.11061598330736161,
bert.encoder.layer.1.attention.self.query,1,Q,dac8bit,8,3.475929872820416e-09,0.06546269342303276,0.0654626901820302,23.236380882263184,0.9998440176248551,0.04916043415665627,0.21316166639328002,0.5711137756705285,1.0596381372351971e-08,0.07156735621392726,
bert.encoder.layer.1.attention.self.value,1,V,dac8bit,8,5.102207296658889e-09,0.07030978905037046,0.07030978428199887,26.211395769119264,0.9998570537567139,0.05171891503036022,0.24024651527404786,0.6128644552826882,0.5570914739370346,0.5882847312092782,
bert.encoder.layer.2.attention.self.key,2,K,dac8bit,8,3.9031274923218006e-09,0.11407305236905813,0.11407304901629686,34.011488847732544,0.9998549056053162,0.040403489843010905,0.22194428354501725,0.5978737583756447,0.5570914739370346,0.6081541003286839,
bert.encoder.layer.2.attention.output.dense,2,O,dac8bit,8,0.10002483315765857,0.11072598487138748,0.011890497328713535,6.45543149471283,0.9999629777669906,0.15752492628991605,0.4493632523715496,0.7579713168740273,0.09998628083616495,0.11231764987111091,
bert.encoder.layer.2.attention.self.query,2,Q,dac8bit,8,5.540780421142699e-09,0.19764036364853382,0.19764035917818545,27.680137395858765,0.9998289081454277,0.03964029276743531,0.19433482617139816,0.5287766388058662,4.238552548940788e-09,0.13921901647001506,
bert.encoder.layer.2.attention.self.value,2,V,dac8bit,8,4.887700129074801e-09,0.08013920322060585,0.0801391987130046,30.095099782943727,0.9998790416121482,0.04694520702585578,0.2520615254342556,0.6500681892037392,0.5570914739370346,0.5927106644213199,
bert.encoder.layer.3.attention.self.key,3,K,dac8bit,8,0.0,0.07977770406752825,0.07977770406752825,28.866270465850832,0.9998581144213676,0.04386994671076536,0.22572266191244125,0.5999090287089348,0.557091471850872,0.5924717915058136,
bert.encoder.layer.3.attention.output.dense,3,O,dac8bit,8,0.10001443155109882,0.1178166538104415,0.019780580746009947,10.727096128463746,0.9998862984776496,0.10410434193909168,0.3702211129665375,0.6928031778335572,0.10000430505722761,0.11917647957801819,
