layer_idx,sublayer,extra_bit,from_bits,to_bits,marginal_gain
9,K,5,8,9,0.06552466418362092
9,K,6,9,10,0.04018850434565288
9,K,7,10,11,0.023240552438934477
9,K,8,11,12,0.012569887583044894
9,O,1,4,5,0.108249747006825
9,O,2,5,6,0.0492404340676069
9,O,3,6,7,0.023540318900318206
9,O,4,7,8,0.011482398481968165
9,O,5,8,9,0.005695053122004305
9,O,6,9,10,0.0028602231699336417
9,O,7,10,11,0.0014283761474289123
9,O,8,11,12,0.0007194575448690683
9,Q,1,4,5,0.21943195674568416
9,Q,2,5,6,0.15352566884830593
9,Q,3,6,7,0.09749870463274418
9,Q,4,7,8,0.0579911950917449
9,Q,5,8,9,0.03277367470087484
9,Q,6,9,10,0.01781464434068766
9,Q,7,10,11,0.009428046904686198
9,Q,8,11,12,0.0047590955934856535
9,V,1,4,5,0.2026537180643881
9,V,2,5,6,0.15885024007040205
9,V,3,6,7,0.11118011641356948
9,V,4,7,8,0.07110290763519345
9,V,5,8,9,0.04241788589695605
9,V,6,9,10,0.023628588774309244
9,V,7,10,11,0.012699285963892453
9,V,8,11,12,0.006691310771517511
10,FFN1,1,4,5,0.17778452281029766
10,FFN1,2,5,6,0.21868678813068743
10,FFN1,3,6,7,0.1845723064448393
10,FFN1,4,7,8,0.13322694341077548
10,FFN1,5,8,9,0.09005772445957849
10,FFN1,6,9,10,0.05820504679376519
10,FFN1,7,10,11,0.036485975400914875
10,FFN1,8,11,12,0.022561597969445416
10,FFN2,1,4,5,0.10862776426253125
10,FFN2,2,5,6,0.049549141731984866
10,FFN2,3,6,7,0.023679512159117202
10,FFN2,4,7,8,0.011566048446986377
10,FFN2,5,8,9,0.005697560048257665
10,FFN2,6,9,10,0.0027927505200864844
10,FFN2,7,10,11,0.0014409713523371433
10,FFN2,8,11,12,0.0007145816542693525
10,K,1,4,5,0.18348322771221903
10,K,2,5,6,0.16576359129942142
10,K,3,6,7,0.13345035727369767
10,K,4,7,8,0.09638633696698512
10,K,5,8,9,0.06364537753297865
10,K,6,9,10,0.03917161435077932
10,K,7,10,11,0.022604620391650832
10,K,8,11,12,0.012302099951459505
10,O,1,4,5,0.1173109171090275
10,O,2,5,6,0.053602746500379383
10,O,3,6,7,0.025345477439463502
10,O,4,7,8,0.012533346822213806
10,O,5,8,9,0.006116874841869993
10,O,6,9,10,0.0030431590755977886
10,O,7,10,11,0.0015309944710568517
10,O,8,11,12,0.0007585250893145937
10,Q,1,4,5,0.22198693962250265
10,Q,2,5,6,0.16464418038646847
10,Q,3,6,7,0.10832071093756762
10,Q,4,7,8,0.06540316657293617
